var1	cat1	cat2
0.3745401188473625	c2	c1
0.9507143064099162	c3	c1
0.7319939418114051	c3	c1
0.5986584841970366	c1	c1
0.15601864044243652	c1	c1
0.15599452033620265	c3	c1
0.05808361216819946	c1	c1
0.8661761457749352	c2	c1
0.6011150117432088	c2	c1
0.7080725777960455	c1	c1
0.020584494295802447	c2	c1
0.9699098521619943	c1	c1
0.8324426408004217	c3	c1
0.21233911067827616	c3	c1
0.18182496720710062	c2	c1
0.18340450985343382	c1	c1
0.3042422429595377	c1	c1
0.5247564316322378	c2	c1
0.43194501864211576	c3	c1
0.2912291401980419	c2	c1
0.6118528947223795	c3	c1
0.13949386065204183	c1	c1
0.29214464853521815	c3	c1
0.3663618432936917	c2	c1
0.45606998421703593	c1	c1
0.7851759613930136	c2	c1
0.19967378215835974	c2	c1
0.5142344384136116	c3	c1
0.5924145688620425	c2	c1
0.046450412719997725	c3	c1
0.6075448519014384	c1	c1
0.17052412368729153	c3	c1
0.06505159298527952	c1	c1
0.9488855372533332	c3	c1
0.9656320330745594	c2	c1
0.8083973481164611	c3	c1
0.3046137691733707	c3	c1
0.09767211400638387	c1	c1
0.6842330265121569	c2	c1
0.4401524937396013	c3	c1
0.12203823484477883	c2	c1
0.4951769101112702	c3	c1
0.034388521115218396	c3	c1
0.9093204020787821	c2	c1
0.2587799816000169	c3	c1
0.662522284353982	c2	c1
0.31171107608941095	c3	c1
0.5200680211778108	c1	c1
0.5467102793432796	c2	c1
0.18485445552552704	c3	c1
0.9695846277645586	c3	c1
0.7751328233611146	c1	c1
0.9394989415641891	c2	c1
0.8948273504276488	c3	c1
0.5978999788110851	c1	c1
0.9218742350231168	c3	c1
0.0884925020519195	c2	c1
0.1959828624191452	c3	c1
0.045227288910538066	c3	c1
0.32533033076326434	c3	c1
0.388677289689482	c3	c1
0.2713490317738959	c1	c1
0.8287375091519293	c1	c1
0.3567533266935893	c2	c1
0.28093450968738076	c1	c1
0.5426960831582485	c1	c1
0.14092422497476265	c2	c1
0.8021969807540397	c1	c1
0.07455064367977082	c1	c1
0.9868869366005173	c2	c1
0.7722447692966574	c2	c1
0.1987156815341724	c2	c1
0.005522117123602399	c3	c1
0.8154614284548342	c3	c1
0.7068573438476171	c2	c1
0.7290071680409873	c2	c1
0.7712703466859457	c2	c1
0.07404465173409036	c3	c1
0.3584657285442726	c3	c1
0.11586905952512971	c1	c1
0.8631034258755935	c1	c1
0.6232981268275579	c2	c1
0.3308980248526492	c3	c1
0.06355835028602363	c3	c1
0.3109823217156622	c3	c1
0.32518332202674705	c2	c1
0.7296061783380641	c1	c1
0.6375574713552131	c2	c1
